Title	Authors	Pdf	Presentation	Volume_Name	Pages	pages in pdf	Notes
Frontmatter						1	
WORKING MT CONFERENCE PARTICIPANTS					1	5	
AGENDA FOR PRINCETON MEETING					3	7	
GEORGETOWN UNIVERSITY PRESENTATION	Mr. Zarechnak and A.F.R. BROWN				5	9	
MASSACHUSETTS INSTITUTE OF TECHNOLOGY PRESENTATION	Dr. Lieberman and Dr. Yngve				6	10	
BERKELEY PRESENTATION	Professor Lamb				8	12	
CAMBRIDGE LANGUAGE RESEARCH UNIT PRESENTATION	Margaret Masterman and Mr. Needham				10	14	
WAYNE STATE UNIVERSITY PRESENTATION	Dr. Josselson and MissJaniotis				12	16	
CENTRO DI CIBERNETICA DI MILANO PRESENTATION	Dr. Ceccato				13	17	
RAND CORPORATION PRESENTATION	Mr. Ziehe and Dr. Harper				14	18	
MEETING WITH THE SPONSORS					16	20	
NATIONAL BUREAU OF STANDARDS PRESENTATION	Dr. Alt				18	22	
UNIVERSITY OF WASHINGTON PRESENTATION	Dr. Swarm and Dr. Lytle				20	24	
UNIVERSITY OF TEXAS PRESENTATION	Mr. Pendergraft				21	25	
UNIVERSITY OF INDIANA PRESENTATION	Dr. Ellson				22	26	
OPEN DISCUSSION SESSION					23	27	
